City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Lorengau,PG,-2.0226,147.2712,85.41,65,72,3.2,broken clouds
226,Petauke,ZM,-14.2426,31.3253,63.05,83,97,4.23,overcast clouds
227,Tahta,EG,26.7693,31.5021,82.4,18,0,12.66,clear sky
228,Dukat,RU,62.55,155.55,13.71,71,100,3.33,overcast clouds
229,Abu Dhabi,AE,24.4667,54.3667,82.4,53,0,5.19,clear sky
230,Suntar,RU,62.1444,117.6319,33.78,98,100,4.9,snow
231,Zhuzhou,CN,27.8333,113.15,60.8,94,75,6.71,moderate rain
232,Katangli,RU,51.7102,143.2326,31.89,53,22,4.43,few clouds
233,Matara,LK,5.9485,80.5353,76.91,88,100,3.27,overcast clouds
234,Cidreira,BR,-30.1811,-50.2056,67.3,63,100,11.63,overcast clouds
235,Huaicheng,CN,23.9051,112.1931,68.11,82,100,2.17,overcast clouds
236,Terrace,CA,54.5163,-128.6035,60.8,17,20,3.44,few clouds
237,Taldan,RU,53.6667,124.8,52.93,44,100,5.03,overcast clouds
238,Araouane,ML,18.9048,-3.5265,88.29,14,4,5.79,clear sky
239,Roma,US,43.2128,-75.4557,43.0,56,20,20.71,few clouds
240,Aklavik,CA,68.2191,-135.0107,17.6,73,100,8.05,overcast clouds
241,Krasnyy Chikoy,RU,50.3643,108.7512,33.22,92,100,13.73,snow
242,Neijiang,CN,29.5835,105.0622,61.32,80,97,4.18,overcast clouds
243,Porterville,US,36.0652,-119.0168,60.8,59,90,14.97,light rain
244,Nouadhibou,MR,20.931,-17.0347,64.4,88,0,16.11,clear sky
245,Geraldton,AU,-28.7667,114.6,78.8,29,0,13.8,clear sky
246,Diamantino,BR,-14.4086,-56.4461,70.77,97,99,4.68,overcast clouds
247,Rio Gallegos,AR,-51.6226,-69.2181,55.4,47,0,11.5,clear sky
248,Mogwase,ZA,-25.185,27.2665,55.74,17,4,3.06,clear sky
249,Port Moresby,PG,-9.4431,147.1797,83.23,71,92,8.95,overcast clouds
250,Quang Ngai,VN,15.1167,108.8,85.26,65,99,6.55,overcast clouds
251,Shumskiy,RU,54.8318,99.1328,37.51,77,100,10.98,overcast clouds
252,Gbarnga,LR,6.9956,-9.4722,71.44,97,100,2.59,overcast clouds
253,Cherskiy,RU,68.75,161.3,19.17,79,87,6.17,overcast clouds
254,Kayes,ML,14.0,-11.0,94.14,14,77,12.17,broken clouds
255,Margate,GB,51.3813,1.3862,43.0,68,10,7.0,clear sky
256,Nara,JP,34.6851,135.8049,60.8,39,20,8.05,few clouds
257,Isangel,VU,-19.55,169.2667,82.4,78,75,9.22,broken clouds
258,Northam,GB,51.0333,-4.2167,44.01,78,29,11.01,scattered clouds
259,Nikolskoye,RU,59.7035,30.7861,37.99,87,75,8.95,broken clouds
260,Sassandra,CI,4.95,-6.0833,76.12,89,100,4.74,overcast clouds
261,Porto Velho,BR,-8.7619,-63.9039,75.2,94,40,3.91,light rain
262,Saskylakh,RU,71.9167,114.0833,14.65,93,100,23.4,light snow
263,Snezhnogorsk,RU,69.1933,33.2531,30.2,93,75,4.47,broken clouds
264,Seoul,KR,37.5683,126.9778,62.6,27,40,10.36,scattered clouds
265,Beringovskiy,RU,63.05,179.3167,31.73,90,72,1.43,broken clouds
266,Kavaratti,IN,10.5669,72.642,83.7,73,35,6.08,scattered clouds
267,Tigil,RU,57.8,158.6667,31.08,88,100,3.36,overcast clouds
268,Chumikan,RU,54.7183,135.315,39.61,70,91,8.37,overcast clouds
269,Alto Araguaia,BR,-17.3147,-53.2153,68.76,62,100,6.76,overcast clouds
270,Tautira,PF,-17.7333,-149.15,86.0,66,20,5.75,light rain
271,Polunochnoye,RU,60.8697,60.4153,35.31,94,33,5.97,scattered clouds
272,Itupiranga,BR,-5.1347,-49.3267,74.68,94,64,2.1,broken clouds
273,Yokadouma,CM,3.5167,15.05,69.87,87,14,1.83,few clouds
274,Ikom,NG,5.9667,8.7063,74.1,97,100,0.63,moderate rain
275,Antofagasta,CL,-23.65,-70.4,60.8,82,0,4.61,clear sky
276,Nan,TH,18.8333,100.6667,73.4,94,40,3.44,scattered clouds
277,Piacabucu,BR,-10.4056,-36.4344,77.76,82,16,6.17,few clouds
278,Waipawa,NZ,-41.4122,175.5153,62.6,45,42,16.11,scattered clouds
279,Innisfail,AU,-17.5333,146.0333,74.66,93,100,11.95,overcast clouds
280,Hun,LY,29.1268,15.9477,60.94,65,1,7.52,clear sky
281,Marawi,PH,7.9986,124.2928,82.0,81,98,3.0,overcast clouds
282,Hay River,CA,60.8156,-115.7999,26.6,80,100,8.05,light snow
283,Ilulissat,GL,69.2167,-51.1,48.2,43,75,19.57,broken clouds
284,Maumere,ID,-8.6199,122.2111,83.05,64,58,5.28,broken clouds
285,Redcliffe,AU,-27.2307,153.0973,75.0,60,40,10.36,scattered clouds
286,Port Lincoln,AU,-34.7333,135.8667,64.67,66,1,7.99,clear sky
287,Half Moon Bay,US,37.4636,-122.4286,57.2,82,90,8.05,haze
288,Mount Isa,AU,-20.7333,139.5,82.4,42,100,14.97,overcast clouds
289,Severo-Kurilsk,RU,50.6789,156.125,32.54,97,100,13.02,snow
290,Mae Sai,TH,20.4335,99.8762,73.4,94,40,5.75,scattered clouds
291,Namatanai,PG,-3.6667,152.4333,83.86,68,100,3.42,overcast clouds
292,Hobyo,SO,5.3505,48.5268,83.16,64,67,9.08,broken clouds
293,Lagoa,PT,39.05,-27.9833,59.14,84,100,11.21,overcast clouds
294,Andenes,NO,69.3143,16.1194,33.8,86,90,4.61,light snow
295,Joacaba,BR,-27.1781,-51.5047,60.04,97,98,2.68,overcast clouds
296,Sambava,MG,-14.2667,50.1667,73.22,88,99,8.16,overcast clouds
297,Tiksi,RU,71.6872,128.8694,28.2,95,100,7.31,light snow
298,Walvis Bay,NA,-22.9575,14.5053,61.0,94,72,1.14,broken clouds
299,Semypolky,UA,50.7167,30.9333,41.0,81,75,11.18,broken clouds
300,Codrington,AU,-38.2667,141.9667,61.41,63,100,8.23,overcast clouds
301,Along,IN,28.1667,94.7667,74.35,44,18,1.5,few clouds
302,Usinsk,RU,65.9939,57.5281,37.35,90,100,4.85,overcast clouds
303,Namwala,ZM,-15.7504,26.4384,61.3,91,67,3.36,light rain
304,Coquimbo,CL,-29.9533,-71.3436,55.4,88,0,3.44,clear sky
305,Charlestown,AU,-32.95,151.6667,69.01,70,2,3.71,clear sky
306,Meulaboh,ID,4.1363,96.1285,79.09,79,100,2.91,overcast clouds
307,Montceau-Les-Mines,FR,46.6667,4.3667,55.4,50,0,2.3,clear sky
308,Sibu,MY,2.3,111.8167,82.4,78,20,5.75,few clouds
309,Brigham City,US,41.5102,-112.0155,51.8,54,90,14.97,overcast clouds
310,Birjand,IR,32.8663,59.2211,66.2,15,0,11.5,clear sky
311,Ahmadpur East,PK,29.1431,71.2598,83.14,14,0,6.98,clear sky
312,Carnarvon,AU,-24.8667,113.6333,78.8,31,0,6.91,clear sky
313,Chuy,UY,-33.6971,-53.4616,58.86,84,7,9.01,clear sky
314,Klaksvik,FO,62.2266,-6.589,44.6,87,100,17.27,overcast clouds
315,Mbarara,UG,-0.608,30.65,61.5,88,100,2.44,overcast clouds
316,Mastung,PK,29.7994,66.845,63.79,17,0,3.13,clear sky
317,Windhoek,NA,-22.5594,17.0832,59.0,47,5,4.61,clear sky
318,Portland,US,45.5234,-122.6762,57.99,58,75,10.36,broken clouds
319,Chokurdakh,RU,70.6333,147.9167,26.33,94,100,14.09,light snow
320,Hualmay,PE,-11.0964,-77.6139,66.96,84,23,8.9,few clouds
321,Pathein,MM,16.7833,94.7333,83.3,67,89,6.06,overcast clouds
322,Zykovo,RU,55.9519,93.1461,42.8,36,0,11.18,clear sky
323,Coihaique,CL,-45.5752,-72.0662,55.4,58,75,8.05,broken clouds
324,Kropotkin,RU,45.4375,40.5756,48.0,82,100,10.16,light rain
325,Shahr-E Kord,IR,32.3256,50.8644,41.0,65,40,2.3,scattered clouds
326,Hami,CN,42.8,93.45,44.64,14,86,5.08,overcast clouds
327,Turbo,CO,8.0937,-76.7269,79.56,87,100,9.06,overcast clouds
328,Forbes,AU,-33.3833,148.0167,62.98,46,0,5.79,clear sky
329,Qaqortoq,GL,60.7167,-46.0333,50.0,32,75,33.38,light rain
330,Susehri,TR,40.1644,38.0867,55.35,82,100,4.65,overcast clouds
331,Camalu,MX,30.85,-116.0667,59.0,52,7,8.99,clear sky
332,Jiangyou,CN,31.7667,104.7167,61.45,78,100,1.52,overcast clouds
333,Nanyamba,TZ,-10.6833,39.8333,73.4,94,90,9.22,overcast clouds
334,Inhambane,MZ,-23.865,35.3833,68.72,92,0,4.88,clear sky
335,Saint Paul,US,44.9444,-93.0933,42.8,56,90,10.36,overcast clouds
336,Lasa,IT,46.6166,10.7002,48.0,75,0,3.44,clear sky
337,Bubaque,GW,11.2833,-15.8333,77.81,69,73,18.01,broken clouds
338,Pa Sang,TH,18.5262,98.9394,78.01,78,20,3.44,few clouds
339,Tangshan,CN,39.6333,118.1833,60.67,22,100,4.59,light rain
340,Inongo,CD,-1.95,18.2667,71.74,96,100,5.95,overcast clouds
341,Adrar,MR,20.5022,-10.0711,81.37,21,44,8.81,scattered clouds
342,Hemsedal,NO,60.8629,8.5534,6.01,88,13,5.5,few clouds
343,Kasongo-Lunda,CD,-6.4667,16.8167,70.3,96,44,0.18,light rain
344,Celestun,MX,20.8667,-90.4,80.1,75,3,13.02,clear sky
345,Yangambi,CD,0.8102,24.4336,69.04,99,100,2.95,overcast clouds
346,Port Keats,AU,-14.25,129.55,85.59,41,100,6.82,overcast clouds
347,Vanimo,PG,-2.6741,141.3028,81.41,70,100,1.36,overcast clouds
348,Alyangula,AU,-13.8483,136.4192,77.0,100,75,6.91,light rain
349,Hasaki,JP,35.7333,140.8333,59.0,28,20,16.11,few clouds
350,Nago,JP,26.5881,127.9761,75.2,60,20,11.5,few clouds
351,Atherton,GB,53.5237,-2.4935,43.0,79,15,3.0,few clouds
352,Ewa Beach,US,21.3156,-158.0072,82.4,54,90,10.36,overcast clouds
353,Lisakovsk,KZ,52.5369,62.4936,43.05,77,91,8.16,overcast clouds
354,Lompoc,US,34.6391,-120.4579,55.4,82,100,9.22,overcast clouds
355,Cervo,ES,43.6702,-7.4101,48.0,100,93,1.01,overcast clouds
356,Albufeira,PT,37.0882,-8.2503,64.4,88,20,8.05,few clouds
357,Mokrousovo,RU,55.8103,66.7653,42.17,92,4,6.17,clear sky
358,Nuuk,GL,64.1835,-51.7216,41.0,75,90,2.3,light rain
359,Beian,NO,63.6559,9.5683,35.6,87,75,3.44,broken clouds
360,Pulandian,CN,39.3953,121.9669,60.8,41,0,8.95,clear sky
361,Shelton,US,41.3165,-73.0932,55.4,67,1,5.59,clear sky
362,Morondava,MG,-20.2833,44.2833,74.5,77,100,5.61,overcast clouds
363,Padang,ID,-0.9492,100.3543,80.6,78,96,2.13,overcast clouds
364,Mbini,GQ,1.574,9.6134,79.59,84,96,5.79,overcast clouds
365,Kirakira,SB,-10.4544,161.9205,84.27,75,78,1.05,broken clouds
366,Ukholovo,RU,53.7929,40.4892,34.0,75,2,9.89,clear sky
367,Dingle,PH,10.9995,122.6711,85.23,64,79,4.36,light rain
368,Safranbolu,TR,41.2508,32.6942,49.59,97,100,2.26,overcast clouds
369,Constitucion,CL,-35.3333,-72.4167,56.97,81,0,10.16,clear sky
370,Ubrique,ES,36.6778,-5.446,57.0,90,18,1.01,few clouds
371,Kedrovoye,RU,57.1576,60.5698,33.8,86,0,4.47,clear sky
372,Vardo,NO,70.3705,31.1107,31.53,68,28,6.13,scattered clouds
373,Aswan,EG,24.0934,32.907,84.06,13,0,12.91,clear sky
374,Papara,BR,-3.9839,-38.7273,82.0,89,0,2.3,clear sky
375,Ankpa,NG,7.3706,7.6253,73.87,86,100,4.0,overcast clouds
376,San Jose,US,37.3394,-121.895,57.2,58,90,13.8,overcast clouds
377,Rodrigues Alves,BR,-7.738,-72.6509,73.22,98,100,3.2,overcast clouds
378,Kahului,US,20.8947,-156.47,78.8,65,40,26.46,scattered clouds
379,Puquio,PE,-14.7,-74.1333,47.59,74,1,0.92,clear sky
380,Kerman,IR,30.2832,57.0788,53.6,47,40,2.73,scattered clouds
381,Bongandanga,CD,1.5,21.05,69.76,98,100,3.29,light rain
382,Dongsheng,CN,39.8161,109.9776,46.24,18,0,21.65,clear sky
383,Port Macquarie,AU,-31.4333,152.9167,73.0,54,0,1.99,clear sky
384,Mimongo,GA,-1.6195,11.6068,69.26,95,55,0.81,broken clouds
385,Aykhal,RU,66.0,111.5,6.66,92,100,29.08,overcast clouds
386,Ambilobe,MG,-13.2,49.05,70.61,87,92,3.29,overcast clouds
387,Taybad,IR,34.74,60.7756,66.83,22,32,8.99,scattered clouds
388,Belmonte,BR,-15.8631,-38.8828,77.0,83,20,3.44,few clouds
389,Santa Maria,BR,-29.6842,-53.8069,59.0,82,0,3.44,clear sky
390,Naliya,IN,23.2667,68.8333,78.42,76,0,6.08,clear sky
391,Molo,KE,-0.2479,35.7374,50.27,95,92,1.77,overcast clouds
392,Harper,LR,4.375,-7.7169,76.68,86,100,3.15,overcast clouds
393,Urumqi,CN,43.801,87.6005,44.6,33,0,2.24,clear sky
394,Yoichi,JP,43.2039,140.7703,45.0,42,20,16.11,few clouds
395,Porto Walter,BR,-8.2686,-72.7439,73.2,98,100,3.2,overcast clouds
396,Hofn,IS,64.2539,-15.2082,43.52,75,14,17.52,few clouds
397,Gbadolite,CD,4.2833,21.0167,71.06,93,100,4.07,overcast clouds
398,Ahipara,NZ,-35.1667,173.1667,63.61,69,30,9.1,scattered clouds
399,Pryyutivka,UA,48.7209,33.0708,41.58,83,61,7.72,broken clouds
400,Sola,VU,-13.8833,167.55,87.8,74,40,5.75,scattered clouds
401,Jutai,BR,-5.1833,-68.9,72.75,98,100,1.05,overcast clouds
402,Cockburn Town,TC,21.4612,-71.1419,78.8,73,40,11.5,scattered clouds
403,Nha Trang,VN,12.25,109.1833,86.0,66,20,3.44,few clouds
404,Miandrivazo,MG,-19.5167,45.4667,74.91,80,100,2.84,overcast clouds
405,Namibe,AO,-15.1961,12.1522,76.05,68,0,10.31,clear sky
406,Tura,IN,25.5198,90.2201,82.33,27,3,4.72,clear sky
407,Vila,PT,42.0304,-8.1588,52.0,94,29,2.53,scattered clouds
408,Anzio,IT,41.4853,12.6179,54.0,87,40,5.97,scattered clouds
409,Richards Bay,ZA,-28.783,32.0377,64.62,92,4,3.85,clear sky
410,Salinopolis,BR,-0.6136,-47.3561,78.98,84,65,8.39,broken clouds
411,Ormara,PK,25.2088,64.6357,80.96,69,5,3.47,clear sky
412,Lumberton,US,34.6182,-79.0086,64.4,63,90,9.13,overcast clouds
413,Oxford,GB,51.7522,-1.256,39.0,81,6,6.91,clear sky
414,Sahbuz,AZ,39.4072,45.5739,60.8,67,75,6.91,broken clouds
415,Chimore,BO,-16.9833,-65.1333,65.89,98,63,0.98,broken clouds
416,Port Hedland,AU,-20.3167,118.5667,84.2,18,0,17.27,clear sky
417,Oistins,BB,13.0667,-59.5333,78.8,65,40,14.97,scattered clouds
418,Lata,PT,40.1629,-8.3327,57.99,88,20,5.75,few clouds
419,The Pas,CA,53.8251,-101.2541,44.6,36,90,3.44,overcast clouds
420,Sioux Lookout,CA,50.1001,-91.917,42.8,31,75,3.44,broken clouds
421,Narsaq,GL,60.9167,-46.05,50.0,32,75,33.38,broken clouds
422,Hassleholm,SE,56.1591,13.7664,35.01,64,90,8.05,overcast clouds
423,Atambua,ID,-9.1061,124.8925,78.98,52,2,3.78,clear sky
424,Zhanaozen,KZ,43.3,52.8,61.72,39,6,6.4,clear sky
425,Toronto,CA,43.7001,-79.4163,37.99,56,12,12.71,few clouds
426,Manuk Mangkaw,PH,4.8,119.85,82.51,73,13,4.45,few clouds
427,Faanui,PF,-16.4833,-151.75,81.16,64,2,1.36,clear sky
428,Severnoye,RU,56.3491,78.3619,41.14,70,100,8.81,overcast clouds
429,Okaihau,NZ,-35.3167,173.7833,64.99,75,20,1.01,few clouds
430,Atar,MR,20.5169,-13.0499,77.36,21,0,3.49,clear sky
431,Tadine,NC,-21.55,167.8833,75.33,77,100,12.19,overcast clouds
432,Jumla,NP,29.2747,82.1838,49.42,39,0,3.67,clear sky
433,Adelaide,AU,-34.9333,138.6,69.01,55,20,3.44,few clouds
434,Ukiah,US,39.1502,-123.2078,55.4,47,75,11.5,broken clouds
435,Kavieng,PG,-2.5744,150.7967,83.35,69,83,3.33,broken clouds
436,Lazaro Cardenas,MX,17.9583,-102.2,79.36,65,100,7.38,overcast clouds
437,Hvolsvollur,IS,63.7533,-20.2243,36.0,93,8,1.99,clear sky
438,Sumenep,ID,-7.0167,113.8667,84.29,67,16,11.79,few clouds
439,Shamkhal,RU,43.0596,47.3373,50.0,87,97,6.71,overcast clouds
440,Anchorage,US,61.2181,-149.9003,57.2,28,1,10.36,clear sky
441,Banjarmasin,ID,-3.3244,114.591,80.6,83,20,3.44,few clouds
442,Naze,JP,28.3667,129.4833,75.2,60,75,14.97,broken clouds
443,Torbay,CA,47.6666,-52.7314,42.01,65,1,13.8,clear sky
444,Ponta Delgada,PT,37.7333,-25.6667,59.0,82,75,10.36,broken clouds
445,Ulaanbaatar,MN,47.9077,106.8832,28.4,80,75,20.13,snow
446,Ballina,AU,-28.8667,153.5667,73.4,64,11,8.05,few clouds
447,Oussouye,SN,12.485,-16.5469,73.4,78,0,4.61,clear sky
448,Ucluelet,CA,48.9329,-125.5528,52.0,76,75,6.91,broken clouds
449,Nacala,MZ,-14.5428,40.6728,72.43,97,74,5.79,broken clouds
450,Hervey Bay,AU,-25.2986,152.8535,77.0,63,15,5.01,few clouds
451,Evensk,RU,61.95,159.2333,26.69,85,100,8.37,overcast clouds
